date,close,high,low,next_three_day_high,next_three_day_low,next_three_day_return
2008-07-07,2882.76,2890.99,2747.61,3056.91,2841.07,0.06041085626274807
2008-07-08,2901.84,2939.14,2841.07,3056.91,2913.87,0.0534385079811429
2008-07-09,3015.13,3015.27,2927.0,3056.91,2913.87,-0.033583958237290004
2008-07-10,2973.73,3056.91,2950.2,2997.67,2849.2,-0.04187670030567678
2008-07-11,2953.5,2988.2,2913.87,2997.67,2702.66,-0.0849297443710852
2008-07-14,2975.87,2996.59,2917.02,2997.67,2702.66,-0.09180844593345813
2008-07-15,2852.98,2997.67,2849.2,2824.88,2690.07,-0.05710169717278069
2008-07-16,2745.6,2824.88,2702.66,2915.29,2690.07,0.06180434149184151
2008-07-17,2718.07,2812.99,2705.81,2931.45,2690.07,0.07850423278282002
2008-07-18,2815.46,2818.06,2690.07,2941.97,2780.28,0.04493404274967493
2008-07-21,2911.05,2915.29,2780.28,2979.75,2879.18,0.02359973205544385
2008-07-22,2904.74,2931.45,2890.25,2979.75,2879.18,0.02582330948725195
2008-07-23,2883.32,2941.97,2879.18,2997.6,2902.98,0.03963486536353916
2008-07-24,2977.36,2979.75,2902.98,2997.6,2881.05,-0.03234744874654054
2008-07-25,2939.2,2967.72,2916.68,2997.6,2866.03,-0.024894529123570912
2008-07-28,2960.85,2997.6,2946.49,2949.94,2804.7,-0.052738233953087826
2008-07-29,2905.63,2921.25,2881.05,2949.94,2748.76,-0.05398829169577678
2008-07-30,2884.38,2949.94,2866.03,2899.07,2748.76,-0.04701877006497059
2008-07-31,2805.21,2899.07,2804.7,2868.68,2695.37,-0.03915571383247605
2008-08-01,2840.79,2868.68,2748.76,2832.89,2679.66,-0.05672013770817277
2008-08-04,2773.15,2832.89,2767.53,2792.74,2679.66,-0.03371256513351251
2008-08-05,2703.08,2792.74,2695.37,2749.1,2581.81,-0.04486363703626973
2008-08-06,2721.69,2749.1,2679.66,2747.88,2442.79,-0.10247309576035481
2008-08-07,2720.44,2747.88,2683.41,2719.38,2413.6,-0.1127905779947362
2008-08-08,2591.46,2719.38,2581.81,2580.72,2369.58,-0.08561968928712005
